건축물동수,건축물연면적,사업장명,폐업일자,법인명,좌표X,좌표Y,문화체육업종명,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,보험가입여부코드,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지도자수,지번주소,회원모집총인원,관리번호,개방자치단체코드,공사립구분명,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호
1,69,길동무도학원,2008-01-24,,212143.778930005,448048.253831401,무도학원업,2026-04-22 22:31:30,I,03,폐업,0,2008-01-24 13:39:54,,2005-05-13,134-814,,서울특별시 강동구 길동 459-3 (4층),,CDFH3301112005000002,3240000,사립,"서울특별시 강동구 천호대로 1139  (길동,(4층))",,03,폐업,,,
1,226,에스에스댄스스포츠아카데미,2008-01-10,,212127.772315316,448197.171823144,무도학원업,2026-04-22 22:31:30,I,03,폐업,1,2008-01-11 12:56:48,,2005-07-20,134-814,,서울특별시 강동구 길동 413-50 (3층),,CDFH3301112005000003,3240000,사립,"서울특별시 강동구 천호대로177길 34  (길동,(3층))",,03,폐업,,,
1,,쉘위 댄스 학원,2023-03-07,,212127.772315316,448197.171823144,무도학원업,2026-04-22 22:31:30,I,03,폐업,Y,2023-03-07 11:09:12,,2008-01-11,,,서울특별시 강동구 길동 413-50 3층,,CDFH3301112008000001,3240000,사립,서울특별시 강동구 천호대로177길 34 (길동),05353,03,폐업,,,34272054
1,7586,이재은댄스아카데미,2017-03-23,,212111.336830711,448059.842030801,무도학원업,2026-04-22 22:31:30,I,03,폐업,Y,2018-03-02 11:15:08,,2008-01-30,,,서울특별시 강동구 길동 459-2,,CDFH3301112008000002,3240000,사립,서울특별시 강동구 천호대로 1135 (길동),05355,03,폐업,,,
1,7586,중부무도학원,2016-12-29,,212111.336830711,448059.842030801,무도학원업,2026-04-22 22:31:30,I,03,폐업,Y,2016-12-29 15:46:46,,2009-05-14,134-814,2,서울특별시 강동구 길동 459-2 5층,30,CDFH3301112009000001,3240000,사립,"서울특별시 강동구 천호대로 1135 (길동,5층)",,03,폐업,,,
,,서울무도학원,2001-04-10,,204263.706546457,461207.244729609,무도학원업,2026-04-22 22:30:54,I,03,폐업,0,2007-06-11 16:42:42,,2000-07-07,132-898,,"서울특별시 도봉구 창동 3-3 콤마프라자빌딩7F2,3",,CDFH3301112000000002,3090000,사립,"서울특별시 도봉구 마들로11길 73  (창동,콤마프라자빌딩7F2,3)",,03,폐업,,,
,,유람선,2008-05-23,,202991.660105264,460533.989789054,무도학원업,2026-04-22 22:30:54,I,03,폐업,0,2008-06-27 15:43:26,,2000-10-06,132-924,,서울특별시 도봉구 창동 655-21 지하1층,,CDFH3301112000000003,3090000,사립,,,03,폐업,,,
,,월드댄스스포츠,2006-11-07,,204258.587772043,461096.29696208,무도학원업,2026-04-22 22:30:54,I,03,폐업,0,2006-11-14 14:34:17,,2001-06-29,132-898,,서울특별시 도봉구 창동 7 지1층,,CDFH3301112001000001,3090000,사립,"서울특별시 도봉구 마들로11가길 6-25  (창동,지1층)",,03,폐업,,,
,,유람선무도학원,2006-01-03,,202991.660105264,460533.989789054,무도학원업,2026-04-22 22:30:54,I,03,폐업,0,2007-06-11 16:45:05,,2003-06-18,132-924,,서울특별시 도봉구 창동 655-21,,CDFH3301112003000001,3090000,사립,,,03,폐업,,,
,,김세일댄스아카데미무도학원,2010-06-23,,204397.004135761,461175.40204195,무도학원업,2026-04-22 22:30:54,I,03,폐업,0,2010-06-23 15:08:14,,2004-12-13,132-898,,서울특별시 도봉구 창동 10-3 503호,,CDFH3301112004000001,3090000,사립,"서울특별시 도봉구 노해로69길 15,  503호 (창동)",,03,폐업,,,
