사업장명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,비상시설위치,시설명건물명,시설구분명,최종수정시점,인허가취소일자,인허가일자,소재지면적,지번주소,관리번호,개방자치단체코드,해제일자,도로명주소,도로명우편번호,영업상태구분코드,영업상태명
보라매공원-2,,192773.582502032,443386.794683965,2026-04-26 22:31:07,I,18,사용중,서울특별시 동작구 신대방동 395번지,보라매공원-2,공공용시설,2025-07-23 15:55:15,,2013-01-10,184,서울특별시 동작구 신대방동 395번지,3190000-E201300002,3190000,,"서울특별시 동작구 여의대방로20길 33 (신대방동, 보라매공원)",07062,01,영업/정상
사자암,,194356.899025114,443360.945623699,2026-04-26 22:31:07,I,18,사용중,서울특별시 동작구 상도동 280번지,사자암,공공용시설,2025-07-23 15:56:37,,2013-01-22,42,서울특별시 동작구 상도동 280번지,3190000-E201300003,3190000,,"서울특별시 동작구 국사봉1길 235-14 (상도동, 사자암)",07049,01,영업/정상
현대오일뱅크(흑석동주유소),,196859.49451353,445088.884741478,2026-04-26 22:31:07,I,18,사용중,서울특별시 동작구 흑석동 9번지 46호,현대오일뱅크(흑석동주유소),공공용시설,2025-07-23 15:57:56,,2013-01-28,72,서울특별시 동작구 흑석동 9번지 46호,3190000-E201300004,3190000,,"서울특별시 동작구 현충로 101 (흑석동, SK흑석동주유소)",06904,01,영업/정상
달마사약수터,,196506.996548069,444120.171131587,2026-04-26 22:31:07,I,18,사용중,서울특별시 동작구 흑석동 산 60번지 6호,달마사약수터,공공용시설,2025-07-23 15:20:51,,2013-01-28,40,서울특별시 동작구 흑석동 산 60번지 6호,3190000-E201300005,3190000,,,,01,영업/정상
흑석약수터,,,,2026-04-26 22:31:07,I,18,사용중,서울특별시 동작구 흑석동 88번지 66호,흑석약수터,공공용시설,2025-07-23 15:20:38,,2013-01-28,50,서울특별시 동작구 흑석동 88번지 66호,3190000-E201300006,3190000,,,,01,영업/정상
김재운,,194430.838588716,445488.948428841,2026-04-26 22:31:07,I,18,사용중,서울특별시 동작구 노량진동 255번지 15호,김재운,공공용시설,2025-07-23 14:35:33,,2014-10-10,35,서울특별시 동작구 노량진동 255번지 15호,3190000-E201400001,3190000,,서울특별시 동작구 노량진로12길 41 (노량진동),,01,영업/정상
임채식,,198341.301367981,443027.175070299,2026-04-26 22:31:07,I,18,사용중,서울특별시 동작구 사당동 85번지 3호,임채식,공공용시설,2025-07-23 16:01:26,,2016-06-13,25,서울특별시 동작구 사당동 85번지 3호,3190000-E201600001,3190000,,서울특별시 동작구 동작대로33길 3 (사당동),06997,01,영업/정상
까치산마을공원,,197062.768221867,442494.123531386,2026-04-26 22:31:07,I,18,사용중,서울특별시 동작구 사당동 산 32번지 60호 까치산마을공원,까치산마을공원,지자체시설,2025-10-21 15:11:18,,2017-12-07,112,서울특별시 동작구 사당동 산 32번지 60호 까치산마을공원,3190000-E201700001,3190000,,,,01,영업/정상
국사봉약수터,,194731.604202678,443539.473001902,2026-04-26 22:31:07,I,18,사용중,서울특별시 동작구 상도동 산 65번지 41호,국사봉약수터,공공용시설,2025-07-23 15:22:32,,2018-08-07,64,서울특별시 동작구 상도동 산 65번지 41호,3190000-E201800001,3190000,,,,01,영업/정상
이수교KCC스위첸아파트,,198253.036966399,443940.156805018,2026-04-26 22:31:07,I,18,사용중,서울특별시 동작구 동작동 332번지 이수교KCC스위첸아파트,이수교KCC스위첸아파트,공공용시설,2025-08-18 18:02:53,,2018-08-07,90,서울특별시 동작구 동작동 332번지 이수교KCC스위첸아파트,3190000-E201800002,3190000,,"서울특별시 동작구 동작대로45길 22 (동작동, 이수교KCC스위첸아파트)",06994,01,영업/정상
